"날짜","종가","오픈","고가","저가","거래량","변동 %"
"2020년 05월 19일","24,158.0","24,479.0","24,765.0","24,120.0","235.95K","-1.42%"
"2020년 05월 18일","24,507.0","23,600.0","24,640.0","23,538.0","209.13K","4.21%"
"2020년 05월 15일","23,517.0","23,526.0","23,677.0","23,241.0","272.38K","-0.07%"
"2020년 05월 14일","23,534.0","23,232.0","23,592.0","22,704.0","328.59K","1.59%"
"2020년 05월 13일","23,166.0","23,494.0","23,780.0","22,980.0","308.74K","-1.73%"
"2020년 05월 12일","23,574.0","24,105.0","24,293.0","23,468.0","209.79K","-2.28%"
"2020년 05월 11일","24,124.0","24,228.0","24,471.0","23,973.0","175.63K","-0.67%"
"2020년 05월 08일","24,286.0","23,855.0","24,327.0","23,849.0","156.06K","1.86%"
"2020년 05월 07일","23,843.0","23,493.0","23,999.0","23,428.0","169.83K","1.40%"
"2020년 05월 06일","23,513.0","23,762.0","23,995.0","23,497.0","179.24K","-1.04%"
"2020년 05월 05일","23,761.0","23,587.0","24,057.0","23,577.0","177.19K","0.81%"
"2020년 05월 04일","23,571.0","23,364.0","23,658.0","23,208.0","157.51K","-0.20%"
"2020년 05월 01일","23,619.0","24,052.0","24,078.0","23,530.0","169.78K","-2.52%"
"2020년 04월 30일","24,230.0","24,676.0","24,792.0","24,072.0","204.63K","-1.37%"
"2020년 04월 29일","24,566.0","24,036.0","24,688.0","23,971.0","178.48K","2.17%"
"2020년 04월 28일","24,045.0","24,015.0","24,435.0","23,878.0","192.24K","0.19%"
"2020년 04월 27일","23,999.0","23,647.0","24,100.0","23,535.0","143.53K","1.44%"
"2020년 04월 24일","23,658.0","23,332.0","23,730.0","23,155.0","169.75K","1.38%"
"2020년 04월 23일","23,337.0","23,375.0","23,772.0","23,231.0","211.39K","-0.08%"
"2020년 04월 22일","23,356.0","22,976.0","23,503.0","22,815.0","179.29K","1.86%"
"2020년 04월 21일","22,929.0","23,457.0","23,682.0","22,814.0","249.72K","-2.38%"
"2020년 04월 20일","23,488.0","24,088.0","24,203.0","23,441.0","208.15K","-2.78%"
"2020년 04월 17일","24,159.0","24,072.0","24,327.0","23,701.0","231.63K","3.21%"
"2020년 04월 16일","23,407.0","23,332.0","23,767.0","23,079.0","236.01K","0.07%"
"2020년 04월 15일","23,391.0","23,911.0","23,967.0","23,103.0","184.47K","-2.05%"
"2020년 04월 14일","23,880.0","23,320.0","23,922.0","23,250.0","174.57K","2.45%"
"2020년 04월 13일","23,309.0","23,839.0","23,911.0","22,968.0","159.04K","-1.55%"
"2020년 04월 10일","23,676.0","23,676.0","23,676.0","23,676.0","-","0.25%"
"2020년 04월 09일","23,618.0","23,298.0","23,889.0","23,020.0","262.87K","1.60%"
"2020년 04월 08일","23,246.0","22,479.0","23,394.0","22,244.0","238.33K","3.36%"
"2020년 04월 07일","22,491.0","22,496.0","23,477.0","22,300.0","275.76K","0.01%"
"2020년 04월 06일","22,488.0","20,944.0","22,663.0","20,944.0","222.34K","7.31%"
"2020년 04월 03일","20,957.0","21,272.0","21,352.0","20,740.0","169.30K","-1.49%"
"2020년 04월 02일","21,273.0","20,819.0","21,374.0","20,500.0","247.19K","2.57%"
"2020년 04월 01일","20,740.0","21,702.0","21,702.0","20,648.0","207.28K","-4.65%"
"2020년 03월 31일","21,751.0","22,186.0","22,386.0","21,641.0","173.68K","-1.88%"
